,preCloseIndex,openIndex,lowestIndex,highestIndex,turnoverVol,closeIndex,label,,,,,
0,14.6835999,14.6796997,14.4206995,14.7177002,34526500,14.4716003,13.9018994,13.9025,13.7869995,14.0918994,53510300,14.0913
1,14.4716003,14.4755005,14.4372998,14.5680005,34295000,14.4716003,14.0913,14.0678003,13.9531006,14.2908997,51704900,14.2032996
2,14.4716004,14.4401001,14.1118994,14.4401001,41660000,14.1163,14.2032996,14.1991003,13.9482996,14.1991003,44958400,14.0102002
3,14.1163,14.1406995,14.0344995,14.2387,42212600,14.1618005,14.0102002,14.0291003,14.0291003,14.1789001,36820900,14.1625
4,14.1618005,14.1570996,13.8830005,14.3028003,47053900,13.9018994,14.1625,14.1188,13.8059998,14.1188,46016400,13.8094995
5,13.9018994,13.9025,13.7869995,14.0918994,53510300,14.0913,13.8094995,13.7741003,13.6427002,13.9198999,54406200,13.7319995
6,14.0913,14.0678003,13.9531006,14.2908997,51704900,14.2032996,13.7319995,13.7479004,13.3067004,13.7771997,53031300,13.3325
7,14.2032996,14.1991003,13.9482996,14.1991003,44958400,14.0102002,13.3325,13.3390002,13.1251001,13.5028003,60048400,13.2518994
8,14.0102002,14.0291003,14.0291003,14.1789001,36820900,14.1625,13.2518994,13.1293994,12.7429004,13.2208997,65446900,13.105
9,14.1625,14.1188,13.8059998,14.1188,46016400,13.8094995,13.105,13.1041003,12.7005005,13.3908997,32416800,13.3859998
10,13.8094995,13.7741003,13.6427002,13.9198999,54406200,13.7319995,13.3859998,13.4013,13.3431006,13.5515002,57353000,13.5206995
11,13.7319995,13.7479004,13.3067004,13.7771997,53031300,13.3325,13.5206995,13.5731995,13.275,13.6856006,48822500,13.3060999
12,13.3325,13.3390002,13.1251001,13.5028003,60048400,13.2518994,13.3060999,13.3069995,13.2226001,13.5396997,41009300,13.5395996
13,13.2518994,13.1293994,12.7429004,13.2208997,65446900,13.105,13.5395996,13.5593994,13.5018994,13.6493005,42329600,13.6230005
14,13.105,13.1041003,12.7005005,13.3908997,32416800,13.3859998,13.6230005,13.6221997,13.5294995,13.8585999,47427600,13.5581006
15,13.3859998,13.4013,13.3431006,13.5515002,57353000,13.5206995,13.5581006,13.5197998,13.3407996,13.8562,49702900,13.7855005
16,13.5206995,13.5731995,13.275,13.6856006,48822500,13.3060999,13.7855005,13.7859998,13.7593005,13.9602002,46507700,13.9542004
17,13.3060999,13.3069995,13.2226001,13.5396997,41009300,13.5395996,13.9542004,13.9538,13.7968994,13.9538,34957800,13.8081995
18,13.5395996,13.5593994,13.5018994,13.6493005,42329600,13.6230005,13.8081995,13.8028003,13.3664001,13.8028003,43157400,13.3664001
19,13.6230005,13.6221997,13.5294995,13.8585999,47427600,13.5581006,13.3664001,13.3947998,13.2433997,13.5195996,40081200,13.2644995
20,13.5581006,13.5197998,13.3407996,13.8562,49702900,13.7855005,13.2644995,13.2401001,13.1675,13.4716003,45891600,13.3691003
21,13.7855005,13.7859998,13.7593005,13.9602002,46507700,13.9542004,13.3691003,13.3688,13.2106006,13.4121997,37684900,13.3129004
22,13.9542004,13.9538,13.7968994,13.9538,34957800,13.8081995,13.3129004,13.3192004,13.2031995,13.4140002,35931400,13.3913
23,13.8081995,13.8028003,13.3664001,13.8028003,43157400,13.3664001,13.3913,13.4055005,13.3935999,13.6209998,40446400,13.4885999
24,13.3664001,13.3947998,13.2433997,13.5195996,40081200,13.2644995,13.4885999,13.5312,13.5078003,13.6922998,38564200,13.6720996
25,13.2644995,13.2401001,13.1675,13.4716003,45891600,13.3691003,13.6720996,13.6732996,13.4731006,13.6816003,36447600,13.4885999
26,13.3691003,13.3688,13.2106006,13.4121997,37684900,13.3129004,13.4885999,13.4752002,13.3813,13.5,35833000,13.4998999
27,13.3129004,13.3192004,13.2031995,13.4140002,35931400,13.3913,13.4998999,13.5585999,13.4505005,13.6728003,36135500,13.4878003
28,13.3913,13.4055005,13.3935999,13.6209998,40446400,13.4885999,13.4878003,13.4839001,13.3655005,13.6370996,38705200,13.6003003
29,13.4885999,13.5312,13.5078003,13.6922998,38564200,13.6720996,13.6003003,13.6220996,13.3933997,13.6793994,36966600,13.4253003
30,13.6720996,13.6732996,13.4731006,13.6816003,36447600,13.4885999,13.4253003,13.4421997,13.2704004,13.5430005,35726600,13.5310999
31,13.4885999,13.4752002,13.3813,13.5,35833000,13.4998999,13.5310999,13.5275,13.4603003,13.7435999,38663500,13.7180005
32,13.4998999,13.5585999,13.4505005,13.6728003,36135500,13.4878003,13.7180005,13.7176001,13.6329004,13.8733997,40960600,13.8129004
33,13.4878003,13.4839001,13.3655005,13.6370996,38705200,13.6003003,13.8129004,13.7894995,13.72,13.8833997,39047000,13.8002002
34,13.6003003,13.6220996,13.3933997,13.6793994,36966600,13.4253003,13.8002002,13.7816003,13.6316003,13.7816003,39385800,13.6768005
35,13.4253003,13.4421997,13.2704004,13.5430005,35726600,13.5310999,13.6768005,13.6406995,13.2542004,13.6406995,44267300,13.3063
36,13.5310999,13.5275,13.4603003,13.7435999,38663500,13.7180005,13.3063,13.3044995,13.2004004,13.3513,41175700,13.3133997
37,13.7180005,13.7176001,13.6329004,13.8733997,40960600,13.8129004,13.3133997,13.2957996,13.0739001,13.3103003,47571800,13.2675
38,13.8129004,13.7894995,13.72,13.8833997,39047000,13.8002002,13.2675,13.2768994,13.2021997,13.4418994,42777100,13.3369995
39,13.8002002,13.7816003,13.6316003,13.7816003,39385800,13.6768005,13.3369995,13.3219995,13.0342004,13.3219995,43234600,13.0433997
40,13.6768005,13.6406995,13.2542004,13.6406995,44267300,13.3063,13.0433997,13.0153003,12.8243005,13.1323999,45654100,12.9337
41,13.3063,13.3044995,13.2004004,13.3513,41175700,13.3133997,12.9337,12.9316003,12.7266003,12.9501001,42612400,12.7337
42,13.3133997,13.2957996,13.0739001,13.3103003,47571800,13.2675,12.7337,12.7440002,12.7440002,13.2065002,51090800,13.2065002
43,13.2675,13.2768994,13.2021997,13.4418994,42777100,13.3369995,13.2065002,13.2113,13.0785999,13.3326001,44142800,13.0877002
44,13.3369995,13.3219995,13.0342004,13.3219995,43234600,13.0433997,13.0877002,13.0526001,12.8210999,13.2168005,50733600,13.1547998
45,13.0433997,13.0153003,12.8243005,13.1323999,45654100,12.9337,13.1547998,13.1605005,12.7485999,13.2146997,51537800,12.8814001
46,12.9337,12.9316003,12.7266003,12.9501001,42612400,12.7337,12.8814001,12.8320996,12.5697998,12.875,56830100,12.7659998
47,12.7337,12.7440002,12.7440002,13.2065002,51090800,13.2065002,12.7659998,12.7716003,12.7716003,13.3073999,53356300,13.3073999
48,13.2065002,13.2113,13.0785999,13.3326001,44142800,13.0877002,13.3073999,13.3096997,12.9842004,13.4151001,53585500,12.9842004
49,13.0877002,13.0526001,12.8210999,13.2168005,50733600,13.1547998,12.9842004,12.9967004,12.9521997,13.3067004,61452200,13.2951001
50,13.1547998,13.1605005,12.7485999,13.2146997,51537800,12.8814001,13.2951001,13.3029004,13.3029004,13.5968005,44990000,13.4988
51,12.8814001,12.8320996,12.5697998,12.875,56830100,12.7659998,13.4988,13.4906995,13.4120996,13.5746997,41451200,13.5298999
52,12.7659998,12.7716003,12.7716003,13.3073999,53356300,13.3073999,13.5298999,13.5244995,13.3641003,13.5244995,40556700,13.4113
53,13.3073999,13.3096997,12.9842004,13.4151001,53585500,12.9842004,13.4113,13.4033997,13.2566003,13.4562,40379300,13.2576001
54,12.9842004,12.9967004,12.9521997,13.3067004,61452200,13.2951001,13.2576001,13.2702002,13.1294995,13.3487,36869800,13.1521997
55,13.2951001,13.3029004,13.3029004,13.5968005,44990000,13.4988,13.1521997,13.1592004,13.1281006,13.2852002,41889900,13.2269995
56,13.4988,13.4906995,13.4120996,13.5746997,41451200,13.5298999,13.2269995,13.2641003,13.2641003,13.7018005,47451200,13.7018005
57,13.5298999,13.5244995,13.3641003,13.5244995,40556700,13.4113,13.7018005,13.6995996,13.6155005,13.7794995,43204400,13.6753003
58,13.4113,13.4033997,13.2566003,13.4562,40379300,13.2576001,13.6753003,13.6568994,13.5868005,13.7566003,39201000,13.6931006
59,13.2576001,13.2702002,13.1294995,13.3487,36869800,13.1521997,13.6931006,13.6984998,13.6282996,13.8091003,37031000,13.7040002
60,13.1521997,13.1592004,13.1281006,13.2852002,41889900,13.2269995,13.7040002,13.7368994,13.6902002,13.8673999,37477800,13.7254004
61,13.2269995,13.2641003,13.2641003,13.7018005,47451200,13.7018005,13.7254004,13.7016003,13.6062,13.7016003,36025000,13.6554004
62,13.7018005,13.6995996,13.6155005,13.7794995,43204400,13.6753003,13.6554004,13.655,13.4996997,13.6839001,35566700,13.5448999
63,13.6753003,13.6568994,13.5868005,13.7566003,39201000,13.6931006,13.5448999,13.5537,13.5010999,13.6723999,36861500,13.6055005
64,13.6931006,13.6984998,13.6282996,13.8091003,37031000,13.7040002,13.6055005,13.5797998,13.3120996,13.5797998,37237900,13.3282996
65,13.7040002,13.7368994,13.6902002,13.8673999,37477800,13.7254004,13.3282996,13.3219995,13.2616003,13.3564001,35650200,13.2831995
66,13.7254004,13.7016003,13.6062,13.7016003,36025000,13.6554004,13.2831995,13.3171997,13.2434998,13.3771997,35812300,13.3443005
67,13.6554004,13.655,13.4996997,13.6839001,35566700,13.5448999,13.3443005,13.3702002,13.3702002,13.6548999,42603700,13.6470996
68,13.5448999,13.5537,13.5010999,13.6723999,36861500,13.6055005,13.6470996,13.6337,13.5725,13.6859998,37138800,13.6556006
69,13.6055005,13.5797998,13.3120996,13.5797998,37237900,13.3282996,13.6556006,13.69,13.69,13.9590002,42223800,13.9032996
70,13.3282996,13.3219995,13.2616003,13.3564001,35650200,13.2831995,13.9032996,13.8771997,13.7925,13.9022998,34205700,13.8817004
71,13.2831995,13.3171997,13.2434998,13.3771997,35812300,13.3443005,13.8817004,13.8643005,13.6983997,13.8643005,38219000,13.7593994
72,13.3443005,13.3702002,13.3702002,13.6548999,42603700,13.6470996,13.7593994,13.7840002,13.7223999,13.8787,41036100,13.7993005
73,13.6470996,13.6337,13.5725,13.6859998,37138800,13.6556006,13.7993005,13.8052002,13.7108997,13.9771997,44616600,13.8881995
